CookerStat, GenerateAssetRegistry=0.036828, Initialize=0.128601, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
SavePackageTransactionId797A96DD42CC64BB0148A9850804E98B_0, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Levels/MainLevel.umap, AutoPackageBackupDelegate=7.349432, FlushAsyncLoading=0.012074, FlushStreamingFunc=0.051018, BlockTillAllRequestsFinished=0.006642, ResetLoadersForSaveUnMarkAllObjects=48.001320, TagPackageExports=0.880268, BeginCacheForCookedPlatformData=0.002414, SerializeImports=1.584537, GatherLocalizableTextData=3.922857, MarkNames=0.048298, SerializeSummary=0.019319, SerializeNames=0.343837, SerializeGatherableTextData=0.068825, BuildExportMap=0.207689, SortExportsNonSeekfree=0.115015, SortExportsSeekfreeConstructor=0.054941, SortExportsSeekfreeInner=10.271575, SortExportsSeekfree=0.006035, BuildDependencyMap=0.073660, SerializeImportMap=0.033509, SerializeExportMap=0.018414, SerializeDependencyMap=0.009660, SerializeStringAssetReferenceMap=0.001814, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.738684, SerializeExports=2.351299, SerializeBulkData=3.511097, MoveFile=3.723618, UnaccountedTime=1.398888, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7025B6C545E04468A8EE7CBDEFE513E1__1_0_13123_0, StartTime=2016.04.16-18.13.34, HierarchicalDDC=, DataSize=451, Duration=3.992889, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_22AA687F473B1C6470D4868CF58F3A33__1_0_13123_0, StartTime=2016.04.16-18.13.34, HierarchicalDDC=, DataSize=347, Duration=3.713958, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EB54D86E422CFD1A86B732B16EA01019__1_0_13123_0, StartTime=2016.04.16-18.13.36, HierarchicalDDC=, DataSize=451, Duration=18.475607, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E043CA0342FF4C2B25F38AB2F4651965__1_0_13123_0, StartTime=2016.04.16-18.13.36, HierarchicalDDC=, DataSize=347, Duration=3.479704, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F5B282D249B94A766AE8B884ECB9599A__1_0_13123_0, StartTime=2016.04.16-18.13.38, HierarchicalDDC=, DataSize=437, Duration=5.971674, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8FF962574E45FC2E6F9BE59FD577E469__1_0_13123_0, StartTime=2016.04.16-18.13.38, HierarchicalDDC=, DataSize=347, Duration=5.107712, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_15C89DD5452983118661DC81A42D2537__1_0_13123_0, StartTime=2016.04.16-18.13.38, HierarchicalDDC=, DataSize=347, Duration=6.840166, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdC7862A524F3F027315F3318F908136C3_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1B08D42142F66D1F2AF11E815AB3FD29__1_0_13123_0, StartTime=2016.04.16-18.13.43, HierarchicalDDC=, DataSize=437, Duration=5.969562, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0350C8074D29CCBA628974A7B286F40C__1_0_13123_0, StartTime=2016.04.16-18.13.43, HierarchicalDDC=, DataSize=347, Duration=7.852655, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionIdA6927F4A412FC5E201D73996628872C0_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_805D6E014577418B0049008345D89864__1_0_13123_0, StartTime=2016.04.16-18.13.43, HierarchicalDDC=, DataSize=347, Duration=5.542710, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
DDCTransactionId9DC4022245363776F0C746A616F6FF93_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1E2B96E34F925C0AD1DB4CA96186AD5D__1_0_13123_0, StartTime=2016.04.16-18.13.45, HierarchicalDDC=, DataSize=437, Duration=6.890282, RunGuid=RunIDE337E7B54056D8C59DBA8EA5D7529BAF
