CookerStat, GenerateAssetRegistry=3.130734, Initialize=31.934038, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_0, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Saved/Autosaves/Game/FromPrototype/Blueprints/PlayerDummy_Auto1.uasset, AutoPackageBackupDelegate=811.179626, FlushAsyncLoading=0.014491, FlushStreamingFunc=0.060979, BlockTillAllRequestsFinished=0.007246, ResetLoadersForSaveUnMarkAllObjects=46.839062, TagPackageExports=118.578499, BeginCacheForCookedPlatformData=0.005733, SerializeImports=135.668793, GatherLocalizableTextData=98.007904, MarkNames=1.182135, SerializeSummary=0.179313, SerializeNames=0.892643, SerializeGatherableTextData=0.820797, BuildExportMap=1.230136, SortExportsNonSeekfree=29.383503, SortExportsSeekfreeConstructor=3.333595, SortExportsSeekfreeInner=141.614807, SortExportsSeekfree=0.007849, BuildDependencyMap=3.745045, SerializeImportMap=0.051018, SerializeExportMap=0.569940, SerializeDependencyMap=0.124071, SerializeStringAssetReferenceMap=0.005431, SaveThumbNailsAssetRegistryDataWorldLevelInfo=39.386097, SerializeExports=159.298279, SerializeBulkData=0.025053, MoveFile=20.630669, UnaccountedTime=1.104254, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_1, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=17.002445, FlushAsyncLoading=0.010867, FlushStreamingFunc=0.080299, BlockTillAllRequestsFinished=0.006039, ResetLoadersForSaveUnMarkAllObjects=0.852492, TagPackageExports=122.190125, BeginCacheForCookedPlatformData=0.005737, SerializeImports=129.432983, GatherLocalizableTextData=92.215240, MarkNames=2.248961, SerializeSummary=0.043169, SerializeNames=1.091879, SerializeGatherableTextData=0.985011, BuildExportMap=1.224704, SortExportsNonSeekfree=29.745754, SortExportsSeekfreeConstructor=0.022940, SortExportsSeekfreeInner=140.077667, SortExportsSeekfree=0.007547, BuildDependencyMap=1.091875, SerializeImportMap=0.052527, SerializeExportMap=0.573259, SerializeDependencyMap=0.130106, SerializeStringAssetReferenceMap=0.003021, SaveThumbNailsAssetRegistryDataWorldLevelInfo=14.664732, SerializeExports=159.704895, SerializeBulkData=0.010867, MoveFile=4.102770, UnaccountedTime=3.324836, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_2, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=10.431252, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.043470, BlockTillAllRequestsFinished=0.003923, ResetLoadersForSaveUnMarkAllObjects=0.142485, TagPackageExports=121.687798, BeginCacheForCookedPlatformData=0.006340, SerializeImports=131.319092, GatherLocalizableTextData=91.517006, MarkNames=1.194816, SerializeSummary=0.024755, SerializeNames=0.846457, SerializeGatherableTextData=0.831962, BuildExportMap=1.042373, SortExportsNonSeekfree=28.343849, SortExportsSeekfreeConstructor=0.077281, SortExportsSeekfreeInner=133.235382, SortExportsSeekfree=0.007547, BuildDependencyMap=1.169458, SerializeImportMap=0.051018, SerializeExportMap=0.553034, SerializeDependencyMap=0.106260, SerializeStringAssetReferenceMap=0.002112, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.942314, SerializeExports=156.474854, SerializeBulkData=0.010867, MoveFile=4.116654, UnaccountedTime=1.791924, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_3, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=10.882251, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.025358, BlockTillAllRequestsFinished=0.003621, ResetLoadersForSaveUnMarkAllObjects=0.134937, TagPackageExports=119.251678, BeginCacheForCookedPlatformData=0.006035, SerializeImports=128.849167, GatherLocalizableTextData=92.105362, MarkNames=1.349978, SerializeSummary=0.023548, SerializeNames=0.860039, SerializeGatherableTextData=0.915281, BuildExportMap=1.049615, SortExportsNonSeekfree=30.039173, SortExportsSeekfreeConstructor=0.076074, SortExportsSeekfreeInner=136.226349, SortExportsSeekfree=0.066109, BuildDependencyMap=1.195420, SerializeImportMap=0.051621, SerializeExportMap=0.568427, SerializeDependencyMap=0.109579, SerializeStringAssetReferenceMap=0.002716, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.062046, SerializeExports=165.394012, SerializeBulkData=0.010867, MoveFile=3.776442, UnaccountedTime=2.088063, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_4, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=13.223589, FlushAsyncLoading=0.012077, FlushStreamingFunc=0.060372, BlockTillAllRequestsFinished=0.006039, ResetLoadersForSaveUnMarkAllObjects=0.162106, TagPackageExports=116.796539, BeginCacheForCookedPlatformData=0.006340, SerializeImports=126.042938, GatherLocalizableTextData=90.803986, MarkNames=1.152255, SerializeSummary=0.021432, SerializeNames=0.838000, SerializeGatherableTextData=1.061995, BuildExportMap=0.976563, SortExportsNonSeekfree=30.389950, SortExportsSeekfreeConstructor=0.022642, SortExportsSeekfreeInner=131.943359, SortExportsSeekfree=0.007849, BuildDependencyMap=1.065314, SerializeImportMap=0.051923, SerializeExportMap=0.730537, SerializeDependencyMap=0.143088, SerializeStringAssetReferenceMap=0.003319, SaveThumbNailsAssetRegistryDataWorldLevelInfo=16.751587, SerializeExports=169.862350, SerializeBulkData=0.010867, MoveFile=4.142314, UnaccountedTime=1.934405, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_5, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Saved/Autosaves/Game/Levels/MainLevel_Auto2.umap, AutoPackageBackupDelegate=14.324222, FlushAsyncLoading=0.012677, FlushStreamingFunc=0.077281, BlockTillAllRequestsFinished=0.005435, ResetLoadersForSaveUnMarkAllObjects=100.718727, TagPackageExports=2.441555, BeginCacheForCookedPlatformData=0.004530, SerializeImports=3.242426, GatherLocalizableTextData=9.575744, MarkNames=0.076376, SerializeSummary=0.013888, SerializeNames=0.447374, SerializeGatherableTextData=0.025660, BuildExportMap=0.275310, SortExportsNonSeekfree=0.410851, SortExportsSeekfreeConstructor=0.054639, SortExportsSeekfreeInner=22.524323, SortExportsSeekfree=0.004832, BuildDependencyMap=0.110786, SerializeImportMap=0.073355, SerializeExportMap=0.046492, SerializeDependencyMap=0.007246, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.050219, SerializeExports=5.179856, SerializeBulkData=52.856918, MoveFile=4.704703, UnaccountedTime=0.175089, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_6, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=10.797728, FlushAsyncLoading=0.005435, FlushStreamingFunc=0.026867, BlockTillAllRequestsFinished=0.003923, ResetLoadersForSaveUnMarkAllObjects=0.147317, TagPackageExports=117.047997, BeginCacheForCookedPlatformData=0.006638, SerializeImports=128.484497, GatherLocalizableTextData=91.336189, MarkNames=1.229834, SerializeSummary=0.023246, SerializeNames=0.854604, SerializeGatherableTextData=0.896867, BuildExportMap=1.481596, SortExportsNonSeekfree=30.225735, SortExportsSeekfreeConstructor=0.073355, SortExportsSeekfreeInner=132.700760, SortExportsSeekfree=0.007845, BuildDependencyMap=1.339719, SerializeImportMap=0.052828, SerializeExportMap=0.570845, SerializeDependencyMap=0.122860, SerializeStringAssetReferenceMap=0.004228, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.459507, SerializeExports=162.040192, SerializeBulkData=0.010867, MoveFile=3.897190, UnaccountedTime=1.879167, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_7, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=6.540403, FlushAsyncLoading=0.005130, FlushStreamingFunc=0.062790, BlockTillAllRequestsFinished=0.004530, ResetLoadersForSaveUnMarkAllObjects=0.168145, TagPackageExports=118.921127, BeginCacheForCookedPlatformData=0.006035, SerializeImports=124.542320, GatherLocalizableTextData=92.866692, MarkNames=1.452316, SerializeSummary=0.024151, SerializeNames=0.893850, SerializeGatherableTextData=0.914980, BuildExportMap=1.077991, SortExportsNonSeekfree=30.021061, SortExportsSeekfreeConstructor=0.077281, SortExportsSeekfreeInner=135.367828, SortExportsSeekfree=0.007849, BuildDependencyMap=1.534425, SerializeImportMap=0.052527, SerializeExportMap=0.566013, SerializeDependencyMap=0.108372, SerializeStringAssetReferenceMap=0.002112, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.893604, SerializeExports=161.537277, SerializeBulkData=0.011168, MoveFile=3.940061, UnaccountedTime=1.816373, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_8, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=16.882908, FlushAsyncLoading=0.013884, FlushStreamingFunc=0.044677, BlockTillAllRequestsFinished=0.004832, ResetLoadersForSaveUnMarkAllObjects=0.159990, TagPackageExports=118.193916, BeginCacheForCookedPlatformData=0.006642, SerializeImports=129.785873, GatherLocalizableTextData=92.276222, MarkNames=1.175195, SerializeSummary=0.022035, SerializeNames=0.835888, SerializeGatherableTextData=1.035128, BuildExportMap=1.045085, SortExportsNonSeekfree=30.387238, SortExportsSeekfreeConstructor=0.073656, SortExportsSeekfreeInner=134.974487, SortExportsSeekfree=0.008453, BuildDependencyMap=1.315266, SerializeImportMap=0.052527, SerializeExportMap=0.569940, SerializeDependencyMap=0.125580, SerializeStringAssetReferenceMap=0.004832, SaveThumbNailsAssetRegistryDataWorldLevelInfo=20.760778, SerializeExports=161.113144, SerializeBulkData=0.010867, MoveFile=11.670750, UnaccountedTime=1.908444, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_9, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=10.332238, FlushAsyncLoading=0.004832, FlushStreamingFunc=0.041958, BlockTillAllRequestsFinished=0.005435, ResetLoadersForSaveUnMarkAllObjects=0.142485, TagPackageExports=122.446709, BeginCacheForCookedPlatformData=0.005737, SerializeImports=128.089035, GatherLocalizableTextData=93.217468, MarkNames=1.196325, SerializeSummary=0.022341, SerializeNames=0.825021, SerializeGatherableTextData=0.894152, BuildExportMap=0.994373, SortExportsNonSeekfree=29.025179, SortExportsSeekfreeConstructor=0.080299, SortExportsSeekfreeInner=138.231400, SortExportsSeekfree=0.007849, BuildDependencyMap=1.184855, SerializeImportMap=0.051018, SerializeExportMap=0.601634, SerializeDependencyMap=0.125881, SerializeStringAssetReferenceMap=0.004526, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.770243, SerializeExports=165.816040, SerializeBulkData=0.011776, MoveFile=4.012506, UnaccountedTime=2.160512, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_10, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=10.409821, FlushAsyncLoading=0.005130, FlushStreamingFunc=0.048302, BlockTillAllRequestsFinished=0.005733, ResetLoadersForSaveUnMarkAllObjects=0.155166, TagPackageExports=121.280273, BeginCacheForCookedPlatformData=0.006642, SerializeImports=123.304642, GatherLocalizableTextData=92.289200, MarkNames=1.237683, SerializeSummary=0.024453, SerializeNames=0.831664, SerializeGatherableTextData=0.874829, BuildExportMap=1.075879, SortExportsNonSeekfree=29.218079, SortExportsSeekfreeConstructor=0.022341, SortExportsSeekfreeInner=134.598038, SortExportsSeekfree=0.008453, BuildDependencyMap=1.096103, SerializeImportMap=0.051618, SerializeExportMap=0.583224, SerializeDependencyMap=0.127692, SerializeStringAssetReferenceMap=0.005737, SaveThumbNailsAssetRegistryDataWorldLevelInfo=15.438739, SerializeExports=156.514999, SerializeBulkData=0.010867, MoveFile=4.110616, UnaccountedTime=2.059385, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
