CookerStat, GenerateAssetRegistry=0.019923, Initialize=0.108071, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8121F87A46E5BCD67FD93BA9CCE222FC__1_0_13123_0, StartTime=2016.04.22-16.52.06, HierarchicalDDC=, DataSize=458, Duration=1.540765, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_05CE7C7249A34168EDD02F9086DD41FA__1_0_13123_0, StartTime=2016.04.22-16.52.06, HierarchicalDDC=, DataSize=729, Duration=2.131533, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AA0F964C4D17E6580FEAACB488666A86__1_0_13123_0, StartTime=2016.04.22-16.52.06, HierarchicalDDC=, DataSize=819, Duration=1.873430, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_826EBCA24ED5BF6ABCDA919282B250C1__1_0_13123_0, StartTime=2016.04.22-16.52.06, HierarchicalDDC=, DataSize=518, Duration=3.817499, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6CB6B4C04491DF31D40C10BF3B0348F5__1_0_13123_0, StartTime=2016.04.22-16.52.06, HierarchicalDDC=, DataSize=809, Duration=1.187872, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FCB8998A4DA85C1A27BB6B987EF25375__1_0_13123_0, StartTime=2016.04.22-16.52.06, HierarchicalDDC=, DataSize=428, Duration=2.118248, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId3288C3AF44D88EF6D846BAA4E3B63178_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FBF97BB44BBE1372CEE6189F5EF75511__1_0_13123_0, StartTime=2016.04.22-16.52.06, HierarchicalDDC=, DataSize=506, Duration=3.640298, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdEE05AF614977A76FC66992AD19BF5A7A_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7F120BEF47BE558041A5C59B68073D73__1_0_13123_0, StartTime=2016.04.22-16.52.06, HierarchicalDDC=, DataSize=366, Duration=5.830996, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId4F748DFF4D09F8951757B89C36B26879_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_691461AF47450D57238E4E98EE229F6F__1_0_13123_0, StartTime=2016.04.22-16.52.06, HierarchicalDDC=, DataSize=506, Duration=6.540705, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionId414416554B1C68119B7B448784896203_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_DAFB1498430647E2A5F9A192179A3D41_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-16.52.11, Duration=119.966217, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
DDCTransactionIdA3039E5140E09DFD238C9F9C7282B1C0_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_D43BA45A48E005AFAF7187BAA499B570_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-16.52.11, Duration=76.146194, RunGuid=RunID04556C734C39FA7C95F6ED8930DD5303
