CookerStat, GenerateAssetRegistry=0.019621, Initialize=0.109583, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EB7972474FAE8E8D709FF38F323CCA40__1_0_13123_0, StartTime=2016.05.03-15.11.16, HierarchicalDDC=, DataSize=440, Duration=10.171335, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_80BA87374FF5064F681C79BD8C46E7C7__1_0_13123_0, StartTime=2016.05.03-15.11.16, HierarchicalDDC=, DataSize=461, Duration=3.833495, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9B66D1F84C988E05B40CBF8A1FAB2305__1_0_13123_0, StartTime=2016.05.03-15.11.16, HierarchicalDDC=, DataSize=430, Duration=4.716177, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2606E12A415EDE02B6D0FD8DF76B32B0__1_0_13123_0, StartTime=2016.05.03-15.11.16, HierarchicalDDC=, DataSize=385, Duration=1.204479, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6DBEDE6A45FE92161ACDFA9BBC9CB501__1_0_13123_0, StartTime=2016.05.03-15.11.16, HierarchicalDDC=, DataSize=1287, Duration=1.137763, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_58A0590A487132C39EB589A205C4610C__1_0_13123_0, StartTime=2016.05.03-15.11.16, HierarchicalDDC=, DataSize=689, Duration=3.038358, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BCCD283A40DA1B544502619895AE46DF__1_0_13123_0, StartTime=2016.05.03-15.11.16, HierarchicalDDC=, DataSize=2303, Duration=1.277227, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5F090D19418037798DD9C2B24EF2F05D__1_0_13123_0, StartTime=2016.05.03-15.11.16, HierarchicalDDC=, DataSize=1192, Duration=3.950018, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_13A545F44FBE9AA624F85B9F20D2A136__1_0_13123_0, StartTime=2016.05.03-15.11.16, HierarchicalDDC=, DataSize=451, Duration=3.616750, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0AA734874B12CA0DED71AAB3721D3D98__1_0_13123_0, StartTime=2016.05.03-15.11.16, HierarchicalDDC=, DataSize=347, Duration=3.502037, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
MaterialTransactionIdAB9EB8414113030C9CAE8FADD0C143EA_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_VRIS_NoDBuf_EARLYZ343BE65C44CA62C019E833694213BC892_Num_SM5__0_5B938C50440B6892955AD79FCD1A8337E6A854604E707DD6EBF457B4A3E80A43__TBasePassVSFNoLightMapPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FEvaluateSurfelMaterialCS6258113C2EBBF117ED7778A8D1717F7C4F99C7B816742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222222222222222222222222220000440414000000140000001400000014000000_FConvertToUniformMeshVSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FConvertToUniformMeshGSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FLocalVertexFactory5897CEF715AB93237703E35F9ABEBB43E8E477D34224200000000058000040404040404040404040434343444443434343404040404040404040404343434040404044040404040404040404040404343434444434343434040404040404040404043434340404016101010101000424244444444444444424141414341414141413131414141444341444044444444444444414141414141414141434143414141414141414141414131314444414241444444414101010004443414341414141444444434341434444444404444444444444444444444444444444444444444444444444444444444444444444444444404010101010101010101010101010101010101010101010101210443434343444144444444444444440101010101010101010101010101301434143424141414244414130331313141444444440000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D00000008000000DA39A3EE5E6B4B0D3255BFEF95601890AFD807090000000000000000000000000000000000000000, ShaderCompilation=1286.924072, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
