CookerStat, GenerateAssetRegistry=0.020530, Initialize=0.106558, RunGuid=RunIDB408895D4287C4AB33ABF1A24052F9D6
MaterialTransactionIdEDB3D5434088864401BFFEB184E8638A_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_VRIS_NoDBuf_EARLYZ36110C12346025BA990F99D9D3B07D4DF_Num_SM5__0_5B938C50440B6892955AD79FCD1A8337E6A854604E707DD6EBF457B4A3E80A43__TBasePassVSFNoLightMapPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FEvaluateSurfelMaterialCS6258113C2EBBF117ED7778A8D1717F7C4F99C7B816742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222222222222222222222222220000440414000000140000001400000014000000_FConvertToUniformMeshVSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FConvertToUniformMeshGSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FLocalVertexFactory5897CEF715AB93237703E35F9ABEBB43E8E477D34224200000000058000040404040404040404040434343444443434343404040404040404040404343434040404044040404040404040404040404343434444434343434040404040404040404043434340404016101010101000424244444444444444424141414341414141413131414141444341444044444444444444414141414141414141434143414141414141414141414131314444414241444444414101010004443414341414141444444434341434444444404444444444444444444444444444444444444444444444444444444444444444444444444404010101010101010101010101010101010101010101010101210443434343444144444444444444440101010101010101010101010101301434143424141414244414130331313141444444440000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D00000008000000DA39A3EE5E6B4B0D3255BFEF95601890AFD807090000000000000000000000000000000000000000, ShaderCompilation=2714.897217, RunGuid=RunIDB408895D4287C4AB33ABF1A24052F9D6
DDCTransactionId0BBF26AF4927D4FACBE45D9C738F4AD4_0, PutCachedData=, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_VRIS_NoDBuf_EA__090A5EB6B42760DADD2213D2F80FEB530704F780, StartTime=2016.05.03-18.58.05, HierarchicalDDC=, DataSize=53459, Duration=27.303577, RunGuid=RunIDB408895D4287C4AB33ABF1A24052F9D6
DDCTransactionId410A48FE45FCBA2F0A6037AD54A44B23_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EE2F4BE446A8E0E430390CA424877B80__1_0_13123_0, StartTime=2016.05.03-19.01.32, HierarchicalDDC=, DataSize=347, Duration=3.553055, RunGuid=RunIDB408895D4287C4AB33ABF1A24052F9D6
DDCTransactionId01D0F71E4548E5786D0094A2226A1062_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BB95B0C24C5E2978CDC693A4637A03F3__1_0_13123_0, StartTime=2016.05.03-19.01.32, HierarchicalDDC=, DataSize=347, Duration=3.094509, RunGuid=RunIDB408895D4287C4AB33ABF1A24052F9D6
DDCTransactionId0BBF26AF4927D4FACBE45D9C738F4AD4_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4EFC48194D0FC095C5F5AEBB7F08F4E0__1_0_13123_0, StartTime=2016.05.03-19.01.32, HierarchicalDDC=, DataSize=447, Duration=16.904327, RunGuid=RunIDB408895D4287C4AB33ABF1A24052F9D6
DDCTransactionId410A48FE45FCBA2F0A6037AD54A44B23_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_37D6286C4E14D06A5E111FAC32F852E4__1_0_13123_0, StartTime=2016.05.03-19.01.32, HierarchicalDDC=, DataSize=347, Duration=3.511094, RunGuid=RunIDB408895D4287C4AB33ABF1A24052F9D6
DDCTransactionId01D0F71E4548E5786D0094A2226A1062_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0A46BC664FF6B5670866DFA8B8A19D38__1_0_13123_0, StartTime=2016.05.03-19.01.32, HierarchicalDDC=, DataSize=511, Duration=16.326237, RunGuid=RunIDB408895D4287C4AB33ABF1A24052F9D6
DDCTransactionId410A48FE45FCBA2F0A6037AD54A44B23_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D965D2814F0ACF15EF74EEAB4BAACE7E__1_0_13123_0, StartTime=2016.05.03-19.01.32, HierarchicalDDC=, DataSize=3159, Duration=3.351703, RunGuid=RunIDB408895D4287C4AB33ABF1A24052F9D6
DDCTransactionId410A48FE45FCBA2F0A6037AD54A44B23_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_850DFB7C433B859D25AF7AB037D16342__1_0_13123_0, StartTime=2016.05.03-19.01.32, HierarchicalDDC=, DataSize=2042, Duration=3.774330, RunGuid=RunIDB408895D4287C4AB33ABF1A24052F9D6
DDCTransactionId01D0F71E4548E5786D0094A2226A1062_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9D16DC2E48F42EA6D8C337874B62BB10__1_0_13123_0, StartTime=2016.05.03-19.01.32, HierarchicalDDC=, DataSize=1405, Duration=4.211441, RunGuid=RunIDB408895D4287C4AB33ABF1A24052F9D6
DDCTransactionId0BBF26AF4927D4FACBE45D9C738F4AD4_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_60E021024830996328AC47A29408E119__1_0_13123_0, StartTime=2016.05.03-19.01.32, HierarchicalDDC=, DataSize=2073, Duration=5.321126, RunGuid=RunIDB408895D4287C4AB33ABF1A24052F9D6
DDCTransactionId410A48FE45FCBA2F0A6037AD54A44B23_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_394001E94E36F8D8E29F30988544F510__1_0_13123_0, StartTime=2016.05.03-19.01.32, HierarchicalDDC=, DataSize=651, Duration=3.461287, RunGuid=RunIDB408895D4287C4AB33ABF1A24052F9D6
