CookerStat, GenerateAssetRegistry=0.037134, Initialize=0.153959, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
SavePackageTransactionId9B8DA8A34F075DB0C728C28027CF4237_0, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Blueprints/Creatures/RatController.uasset, AutoPackageBackupDelegate=0.103842, FlushAsyncLoading=0.003625, FlushStreamingFunc=0.068221, BlockTillAllRequestsFinished=0.005133, ResetLoadersForSaveUnMarkAllObjects=17.564812, TagPackageExports=0.466395, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.983506, GatherLocalizableTextData=0.620648, MarkNames=0.016302, SerializeSummary=0.019621, SerializeNames=0.078186, SerializeGatherableTextData=0.004228, BuildExportMap=0.054337, SortExportsNonSeekfree=0.045583, SortExportsSeekfreeConstructor=0.062790, SortExportsSeekfreeInner=5.405646, SortExportsSeekfree=0.004228, BuildDependencyMap=0.034414, SerializeImportMap=0.010263, SerializeExportMap=0.007849, SerializeDependencyMap=0.003021, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.201348, SerializeExports=0.764947, SerializeBulkData=0.017207, MoveFile=3.579315, UnaccountedTime=1.168553, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
DDCTransactionId7960CD9246A221A9C48FF28B9A51069F_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7906AE044F6A8AEB262A31AD107E1174__1_0_13123_0, StartTime=2016.05.09-17.00.55, HierarchicalDDC=, DataSize=458, Duration=1.981195, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
DDCTransactionIdDC3F585C4AA2A21AD1D9BD85A180A959_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_459576A947E7F30711F141AB8C0E64AE__1_0_13123_0, StartTime=2016.05.09-17.00.55, HierarchicalDDC=, DataSize=440, Duration=1.408543, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
DDCTransactionId385BBE05419C4EDEECA08D8A777B2BF1_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A589AF2C4D2624407F8D998135F7F013__1_0_13123_0, StartTime=2016.05.09-17.00.55, HierarchicalDDC=, DataSize=461, Duration=1.664531, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
DDCTransactionId7960CD9246A221A9C48FF28B9A51069F_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_23604BB946CEF73F8AB26D901BDA2A51__1_0_13123_0, StartTime=2016.05.09-17.00.55, HierarchicalDDC=, DataSize=430, Duration=1.576990, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
DDCTransactionIdDC3F585C4AA2A21AD1D9BD85A180A959_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3731C8B24B2604E6A214DC82A22895EF__1_0_13123_0, StartTime=2016.05.09-17.00.55, HierarchicalDDC=, DataSize=385, Duration=3.123187, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
DDCTransactionId385BBE05419C4EDEECA08D8A777B2BF1_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B949A54D4110DB0B809087BE7702C54E__1_0_13123_0, StartTime=2016.05.09-17.00.55, HierarchicalDDC=, DataSize=1287, Duration=2.633844, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
DDCTransactionId7960CD9246A221A9C48FF28B9A51069F_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E3898247424F840A204DD8A82AA284EB__1_0_13123_0, StartTime=2016.05.09-17.00.55, HierarchicalDDC=, DataSize=689, Duration=1.546495, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
DDCTransactionIdDC3F585C4AA2A21AD1D9BD85A180A959_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8EEF96504E238B679A31B7A09BC5D73C__1_0_13123_0, StartTime=2016.05.09-17.00.55, HierarchicalDDC=, DataSize=2303, Duration=3.203783, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
DDCTransactionId385BBE05419C4EDEECA08D8A777B2BF1_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FF303A1348F60B2AC129A0B6CF858761__1_0_13123_0, StartTime=2016.05.09-17.00.55, HierarchicalDDC=, DataSize=1192, Duration=3.078204, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
DDCTransactionId7960CD9246A221A9C48FF28B9A51069F_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1403E046494F5A5F22DB6B9A3CD4D088__1_0_13123_0, StartTime=2016.05.09-17.00.55, HierarchicalDDC=, DataSize=451, Duration=1.469217, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
DDCTransactionId7960CD9246A221A9C48FF28B9A51069F_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6F864C1D4689810CA31003BDDFF02ACD__1_0_13123_0, StartTime=2016.05.09-17.00.55, HierarchicalDDC=, DataSize=347, Duration=1.149535, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
SavePackageTransactionId9B8DA8A34F075DB0C728C28027CF4237_1, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Levels/Playground.umap, AutoPackageBackupDelegate=18.295649, FlushAsyncLoading=0.012979, FlushStreamingFunc=0.082713, BlockTillAllRequestsFinished=0.007547, ResetLoadersForSaveUnMarkAllObjects=78.802567, TagPackageExports=12.921091, BeginCacheForCookedPlatformData=0.003923, SerializeImports=13.213005, GatherLocalizableTextData=26.885155, MarkNames=0.191990, SerializeSummary=0.018112, SerializeNames=0.651743, SerializeGatherableTextData=0.124674, BuildExportMap=0.602238, SortExportsNonSeekfree=2.807122, SortExportsSeekfreeConstructor=0.054941, SortExportsSeekfreeInner=37.166969, SortExportsSeekfree=0.006035, BuildDependencyMap=0.305496, SerializeImportMap=0.063695, SerializeExportMap=0.105958, SerializeDependencyMap=0.025358, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.157295, SerializeExports=20.350500, SerializeBulkData=3.171481, MoveFile=21.525391, UnaccountedTime=1.315262, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
SavePackageTransactionId9B8DA8A34F075DB0C728C28027CF4237_2, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Blueprints/Objects/SmashableObject.uasset, AutoPackageBackupDelegate=8.382723, FlushAsyncLoading=0.008453, FlushStreamingFunc=0.083014, BlockTillAllRequestsFinished=0.007246, ResetLoadersForSaveUnMarkAllObjects=0.214633, TagPackageExports=8.300312, BeginCacheForCookedPlatformData=0.003926, SerializeImports=8.302726, GatherLocalizableTextData=6.623406, MarkNames=0.074565, SerializeSummary=0.016902, SerializeNames=0.327233, SerializeGatherableTextData=0.069126, BuildExportMap=0.177201, SortExportsNonSeekfree=1.487937, SortExportsSeekfreeConstructor=0.066411, SortExportsSeekfreeInner=11.933964, SortExportsSeekfree=0.006944, BuildDependencyMap=0.102334, SerializeImportMap=0.016302, SerializeExportMap=0.051320, SerializeDependencyMap=0.014789, SerializeStringAssetReferenceMap=0.002418, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.243416, SerializeExports=10.983665, SerializeBulkData=0.010565, MoveFile=3.564823, UnaccountedTime=1.193307, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
SavePackageTransactionId9B8DA8A34F075DB0C728C28027CF4237_3, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Blueprints/Player/PlayerDummy.uasset, AutoPackageBackupDelegate=13.458125, FlushAsyncLoading=0.012074, FlushStreamingFunc=0.077281, BlockTillAllRequestsFinished=0.006035, ResetLoadersForSaveUnMarkAllObjects=0.198632, TagPackageExports=283.895721, BeginCacheForCookedPlatformData=0.005733, SerializeImports=285.728088, GatherLocalizableTextData=196.942871, MarkNames=1.436312, SerializeSummary=0.027470, SerializeNames=1.381978, SerializeGatherableTextData=1.624078, BuildExportMap=5.336821, SortExportsNonSeekfree=68.013908, SortExportsSeekfreeConstructor=0.021432, SortExportsSeekfreeInner=338.531799, SortExportsSeekfree=0.007246, BuildDependencyMap=3.966618, SerializeImportMap=0.074562, SerializeExportMap=1.254588, SerializeDependencyMap=0.251461, SerializeStringAssetReferenceMap=0.004224, SaveThumbNailsAssetRegistryDataWorldLevelInfo=85.518349, SerializeExports=351.000366, SerializeBulkData=0.009358, MoveFile=4.365392, UnaccountedTime=2.679124, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
SavePackageTransactionId9B8DA8A34F075DB0C728C28027CF4237_4, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Saved/Autosaves/Game/Levels/Playground_Auto1.umap, AutoPackageBackupDelegate=11.563868, FlushAsyncLoading=0.014491, FlushStreamingFunc=0.076070, BlockTillAllRequestsFinished=0.006642, ResetLoadersForSaveUnMarkAllObjects=108.508125, TagPackageExports=11.978339, BeginCacheForCookedPlatformData=0.005435, SerializeImports=13.245605, GatherLocalizableTextData=26.897230, MarkNames=0.214029, SerializeSummary=0.021432, SerializeNames=0.644200, SerializeGatherableTextData=0.138860, BuildExportMap=0.564203, SortExportsNonSeekfree=2.807424, SortExportsSeekfreeConstructor=0.060979, SortExportsSeekfreeInner=37.557285, SortExportsSeekfree=0.006039, BuildDependencyMap=0.294931, SerializeImportMap=0.059467, SerializeExportMap=0.105053, SerializeDependencyMap=0.024453, SerializeStringAssetReferenceMap=0.002112, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.642904, SerializeExports=20.477888, SerializeBulkData=3.143109, MoveFile=3.502939, UnaccountedTime=0.312440, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
SavePackageTransactionId9B8DA8A34F075DB0C728C28027CF4237_5, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Saved/Autosaves/Game/Blueprints/Creatures/RatControllers_Auto1.uasset, AutoPackageBackupDelegate=0.087239, FlushAsyncLoading=0.002719, FlushStreamingFunc=0.077881, BlockTillAllRequestsFinished=0.004228, ResetLoadersForSaveUnMarkAllObjects=0.168443, TagPackageExports=0.006035, BeginCacheForCookedPlatformData=0.000905, SerializeImports=0.405718, GatherLocalizableTextData=0.009663, MarkNames=0.003319, SerializeSummary=0.008453, SerializeNames=0.007849, SerializeGatherableTextData=0.000905, BuildExportMap=0.006944, SortExportsNonSeekfree=0.002414, SortExportsSeekfreeConstructor=0.006642, SortExportsSeekfreeInner=0.012074, SortExportsSeekfree=0.001509, BuildDependencyMap=0.003319, SerializeImportMap=0.067018, SerializeExportMap=0.019621, SerializeDependencyMap=0.000905, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.012983, SerializeExports=0.003923, SerializeBulkData=0.003017, MoveFile=2.639580, UnaccountedTime=0.138260, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
SavePackageTransactionId9B8DA8A34F075DB0C728C28027CF4237_6, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Blueprints/Creatures/rat.uasset, AutoPackageBackupDelegate=0.075769, FlushAsyncLoading=0.003323, FlushStreamingFunc=0.070333, BlockTillAllRequestsFinished=0.004530, ResetLoadersForSaveUnMarkAllObjects=0.183538, TagPackageExports=0.747439, BeginCacheForCookedPlatformData=0.002112, SerializeImports=1.115724, GatherLocalizableTextData=1.568235, MarkNames=0.021733, SerializeSummary=0.013586, SerializeNames=0.074863, SerializeGatherableTextData=0.006039, BuildExportMap=0.054337, SortExportsNonSeekfree=0.059165, SortExportsSeekfreeConstructor=0.008453, SortExportsSeekfreeInner=5.239014, SortExportsSeekfree=0.002719, BuildDependencyMap=0.015393, SerializeImportMap=0.006940, SerializeExportMap=0.008151, SerializeDependencyMap=0.002716, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.212822, SerializeExports=1.020029, SerializeBulkData=0.005133, MoveFile=18.374134, UnaccountedTime=1.188777, RunGuid=RunID75AD93B548407801E801A5B3B79C6B42
